word_id,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
0,-0.5534635,0.2170894,0.66805315,-0.09190072,0.51642203,-0.105271034,-0.8179658,0.52580804,-0.17292817,0.75857395
1,-0.41910818,0.4773835,0.5802031,0.47114977,0.766494,-0.13444667,-0.88406307,0.3610101,-0.4004774,0.5990596
2,-0.7625926,0.24567735,0.4753138,0.31865987,0.8179111,-0.37110627,-0.93975985,0.36121204,-0.04431281,0.69143015
3,-0.7167964,0.44231087,0.6282398,0.6080183,0.6908909,0.602759,-0.6994044,0.21308067,0.15295006,0.5403941
4,-0.5943714,0.4134211,0.49466017,0.683316,0.7833539,-0.114772715,-1.0032058,-0.114684924,-0.52466494,0.44746596
5,-0.8082091,-0.1132575,0.66201866,0.4819605,0.3439653,0.32653782,-0.82108915,0.15067825,-0.40032536,0.5148766
6,-0.8597518,0.047788862,0.8940331,-0.017233007,0.36487344,0.41132963,-0.38518035,0.45661852,-0.7848468,0.47349727
7,-0.5177975,-0.56012803,0.8406147,0.5006761,0.14593306,-0.14114481,-0.622702,0.6951735,-0.6474974,0.48083603
8,-0.37977466,-0.47132653,0.11831868,0.71730417,0.4043197,0.39335415,-0.3813231,0.59325844,-0.23605011,0.20146362
9,-0.36471358,-0.5432467,-0.11411249,0.41992447,0.20935498,0.5229878,-0.47775954,0.22625269,-0.54622525,-0.08446223
10,-0.21051425,-0.4729991,0.24395119,0.78832585,-0.30693644,0.12375991,-0.09917503,0.1248626,-0.36849457,0.051404014
11,-0.60022753,-0.23761863,0.40501702,0.32569966,-0.5153861,0.5157875,-0.015081985,0.66853684,-0.53895384,-0.66254544
12,0.06359126,0.50090814,0.17551199,0.097946905,-0.54380226,0.27310556,0.561344,-0.40714478,-0.054031786,-0.3334631
13,-0.07091967,-0.3399938,-0.08070754,0.71706885,-0.85897505,0.116992846,0.16196686,1.0264554,0.25291616,-0.23372677
14,0.34608448,0.28293732,-0.2899949,0.4589606,-0.5107502,-0.0020171925,0.6710074,0.48305216,-0.24945769,-0.62716967
15,0.26492098,0.14410363,-0.48939484,0.4151559,-0.67235076,-0.10410135,0.82793856,0.5197969,-0.17628041,-0.2602036
16,0.4305369,0.5095912,-0.6305654,0.8414051,-0.686732,-0.25262782,0.85985523,0.057826873,-0.32642844,-0.071696684
17,0.329596,0.70893973,-0.15152349,0.70648736,-0.19126192,-0.92512673,0.5017926,0.2270992,0.028662791,0.12436243
18,0.66241115,0.59433204,-0.6028139,0.5332468,0.018733038,-0.82057536,0.04676099,-0.084796354,-0.29474232,-0.44507608
19,0.8523508,0.13666336,-0.7206432,-0.21405172,0.30531865,-1.1013418,0.08456014,0.12204327,-0.037176587,-0.18145224
20,0.82792056,0.09159843,-0.93872356,-0.29765457,0.4069556,-0.51739335,-0.18006818,-0.093071625,-0.44730264,-0.411529
21,0.43226373,0.6114606,-0.8584279,-0.36008915,0.14647351,-0.4545208,-0.43735963,-0.103639655,-0.8756399,-0.047663353
22,0.44662806,0.873384,-0.681438,-0.04797642,0.7311594,-0.38058257,-0.34640655,-0.43578175,-0.21854432,-0.22864294
23,0.10608568,0.92598855,-0.98190695,-0.5149897,0.49197188,-0.5523536,-0.12039661,-0.3183673,-0.32256442,-0.4179984
24,-0.19184248,0.45026642,-0.842872,-0.59820026,0.77758384,-0.5405587,-0.2347089,-0.5351536,0.39389676,-0.70249456
25,-0.13582215,-0.104358986,-0.7812153,-0.7381206,0.37174928,-0.64057523,-0.13907284,0.28635278,0.29643607,-0.9890346
26,0.36529732,-0.1946776,-0.9346979,-0.8170869,0.21846159,-0.42661223,-0.5126495,0.49379584,0.46046296,-0.3704712
27,0.26501712,0.122385405,-0.98357445,-0.32676467,0.4058032,-0.17053549,-0.29592153,-0.005034936,0.72902125,-0.40015587
28,-0.06078267,0.088313855,-0.7381298,-0.81836915,0.04477647,-0.019194216,0.027608326,0.26250872,0.2753316,-0.6215053
29,0.33936468,-0.35229784,-0.61610407,-0.39103726,-0.40788576,0.05447207,-0.10158695,-0.33996955,0.7505092,-0.40771404
30,0.70739526,-1.070362,-0.2800272,-0.07467578,0.1260864,0.40410727,-0.17553695,0.25822178,0.75039345,-0.4714354
31,0.5763112,-0.890037,-0.60235536,-0.40288496,-0.047112543,0.27551138,0.089047775,-0.035944793,0.8169131,-0.07429997
32,1.0300336,-0.25667363,-0.19040127,-0.21407339,-0.30522236,0.29754445,0.045992482,-0.058544453,0.5198974,-0.078352615
33,0.4891543,-0.6027522,-0.3198781,-0.54258305,-0.22757216,0.5694806,0.5826918,-0.34299892,0.7176145,0.21513657
34,0.7701651,-0.19756362,-0.007890806,0.015618003,-0.68976223,0.5616329,-0.10720177,-0.96907294,0.7296204,0.46673554
35,0.78998035,-0.43105128,0.047230456,0.3033936,-0.56963336,1.0274262,0.39478981,-0.7663479,-0.061188824,0.42262325
36,0.7695582,-0.8512178,0.041903056,0.31858328,-0.39296362,0.47116047,0.7069325,-0.16221263,0.48270267,0.8197091
37,0.7124544,-0.25457215,0.17790852,0.24430895,-0.33110198,0.27227595,0.605443,-0.2854914,0.13375293,0.14633627
38,0.20474666,-0.20782849,0.20281771,0.26609564,0.1349422,0.53896534,1.0192043,-0.09997109,0.2908957,-0.116979875
39,-0.10685656,-0.45513973,0.38828868,0.08739898,-0.5531903,0.18492895,0.84062743,-0.44274122,0.58204705,0.0072446
40,-0.15306927,-0.5827842,0.4171139,0.38297546,-0.08235688,-0.23378015,0.84202003,-0.66479266,-0.05995341,0.45121232
41,-0.42010748,-0.505949,0.6097154,0.6520872,-0.002710626,-0.5666885,0.8945944,-0.12811889,-0.39074376,0.2688188
42,0.15262891,0.2297935,0.7579481,0.2384157,0.28218684,-0.7768352,0.9591052,-0.32727468,0.08279309,0.36729875
43,-0.4579733,-0.25967056,0.67932856,0.08328733,0.23149285,-0.45785475,0.8581621,-0.09747626,0.22146699,-0.337983
44,-0.3626081,-0.08184511,0.930043,0.23939401,-0.03747511,-0.33733156,0.5424389,-0.57018447,-0.14774394,-0.17484443
