word_id,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
0,0.21938002,-0.47567597,-0.11442354,0.23010188,0.087875605,0.50131387,-0.18148117,0.11071392,0.32236594,0.2136065
1,-0.027731653,-0.2082356,-0.4024818,-0.20773703,0.017720293,-0.05197039,0.13757956,0.11051442,0.25971285,0.09946863
2,0.13127503,0.13844396,-0.06622281,-0.14689158,0.35482243,0.4749851,0.021247692,0.32871628,0.48712748,0.42417625
3,0.27551126,-0.34483302,-0.07018733,-0.016887099,-0.076229125,0.20803055,0.3701813,0.42725915,0.29930645,0.21623734
4,-0.08821837,0.10421854,0.1707927,0.29014668,-0.2340363,0.26790214,0.30969128,-0.09054517,0.38996646,0.039615422
5,-0.1297774,0.12039561,-0.0872097,-0.444759,0.1880126,0.15208499,0.089480735,0.18748638,0.18142015,0.022532452
6,-0.03052477,0.017883517,-0.45211008,-0.30529526,0.06523611,0.17688987,0.043810915,0.24247955,0.39603505,-0.032560434
7,0.2700852,0.27857417,-0.2912658,-0.18828252,-0.24867705,-0.0799591,-0.39144975,0.15766297,0.042150345,0.1801118
8,-0.08044771,0.2392278,0.0897277,0.17900768,-0.25850967,0.12873226,-0.084936656,-0.10368844,-0.024837807,-0.055117037
9,-0.019873766,-0.079122804,-0.18796158,0.13458912,-0.461783,-0.10132944,-0.13875552,0.17634098,0.044559892,-0.10115968
10,-0.20413111,-0.051792227,-0.12465353,0.29858053,0.0536078,0.109569564,-0.18919505,0.3157455,-0.2300429,0.28919137
11,-0.012786261,-0.29821315,-0.33238235,-0.053371355,0.014695467,-0.08992235,-0.13144958,0.3948858,0.2722734,-0.18192473
12,-0.24957462,0.042397134,0.04393592,-0.2228559,0.08892905,-0.048067115,-0.15270494,-0.42306298,0.040797897,0.09696086
13,0.031093163,0.3534341,-0.40256885,0.12159685,0.16679816,-0.3186985,-0.115438424,-0.10286765,0.15920421,0.14042898
14,-0.08368311,0.35568896,0.21678406,0.21521457,0.10172959,0.09325852,-0.027531138,0.42196766,0.002186582,0.36618495
15,-0.32599974,0.03108669,-0.17718795,0.13634893,0.35718584,0.09884444,0.15782459,0.061794944,-0.1347539,0.1230948
16,-0.17184304,-0.20681663,0.11218026,0.40265572,0.47907156,-0.33191228,-0.0615871,-0.27810556,-0.23768769,0.13642761
17,-0.1534357,0.010977546,-0.42315802,0.25868586,0.35013077,-0.20507158,-0.19315958,-0.3334527,-0.34537554,0.16662642
18,0.25947255,-0.22125262,0.112843126,0.06738489,0.23969458,-0.31583554,-0.18592326,0.43819213,0.095541924,-0.07167168
19,-0.063619785,0.32010812,-0.27318648,0.33028835,-0.081249125,-0.23867291,-0.45135385,0.15433753,0.053149287,0.2046004
20,0.26458588,-0.0017210442,0.064690165,0.45150307,0.07815948,-0.13301441,-0.28576317,0.2917589,-0.23591031,0.2701999
21,-0.43030462,0.16816467,0.10376122,0.16827722,0.17815456,-0.11723556,-0.5152762,0.48604286,-0.16039802,0.052055858
22,-0.500153,0.36842358,0.44009256,0.44735083,-0.3987407,-0.14843602,-0.07110406,0.35636434,-0.1367833,0.13075386
23,0.24313429,-0.28529093,0.080320224,0.33375424,0.049422674,0.1625836,-0.16149941,0.28593445,0.1434472,0.3677735
24,-0.2192681,-0.15112476,-0.20935412,-0.24719706,-0.3331575,-0.2163868,-0.2322458,0.23335694,-0.09084407,0.08487011
25,0.029359242,-0.25580868,0.37162772,0.03235118,0.31415263,0.061508995,-0.36554244,0.21750075,-0.21484868,0.3339763
26,-0.1311358,-0.47256333,0.46799496,-0.083686545,0.15337646,-0.23688725,-0.060271863,0.26791614,-0.33051375,-0.1454058
27,0.25498876,-0.38701305,0.30224204,0.02213884,-0.119769454,-0.45627066,-0.15186183,-0.06390466,-0.04280855,0.33033928
28,-0.13310619,-0.2643023,0.28196192,-0.22289418,0.18784046,-0.3727088,-0.18156731,0.0943305,0.0184616,0.09586602
29,0.25121844,-0.111874595,0.035454273,0.14046115,0.114289254,-0.12294148,0.08932073,-0.25940263,0.06281323,0.12753022
30,0.40664184,-0.3904965,0.118438855,-0.14502779,0.10401694,-0.3753946,0.19718423,-0.21662293,-0.17030774,-0.50313497
31,0.22284782,-0.14812523,0.46256423,0.2669664,0.36884016,0.004603513,-0.14862072,-0.47023326,-0.018968454,-0.15299204
32,0.27900642,-0.14272116,-0.1768584,-0.30823427,0.28263202,-0.21114914,-0.15611817,-0.28471136,-0.15273277,-0.17728402
33,0.06837211,-0.094911404,0.4025411,0.18708569,0.2346782,0.32117942,0.3657083,-0.27143452,-0.06437837,-0.4009498
34,0.35070893,0.12274125,0.26762748,0.12322504,0.38785058,0.15161932,0.45533457,-0.52282983,-0.08635423,-0.35985243
35,0.09117039,-0.038529802,0.45760483,-0.40684623,0.13559741,-0.122714125,0.21161193,-0.40342084,0.06898867,-0.26571044
36,0.1912411,0.38578156,-0.026196957,0.17642333,0.3437298,-0.11897285,0.15824409,-0.27016556,-0.09541457,-0.26527482
