epoch,loss
1,3.8262939453125
2,3.8256027698516846
3,3.8250677585601807
4,3.8245534896850586
5,3.824019193649292
6,3.8235068321228027
7,3.8229920864105225
8,3.8224756717681885
9,3.821962356567383
10,3.8214473724365234
11,3.8209450244903564
12,3.8204500675201416
13,3.8199405670166016
14,3.819436550140381
15,3.81893253326416
16,3.818429708480835
17,3.817920684814453
18,3.8174357414245605
19,3.816945791244507
20,3.816455125808716
21,3.8159594535827637
22,3.8154661655426025
23,3.814969539642334
24,3.814472198486328
25,3.8139779567718506
26,3.8134775161743164
27,3.812999725341797
28,3.8125088214874268
29,3.8120110034942627
30,3.8115339279174805
31,3.811035394668579
32,3.8105642795562744
33,3.8100814819335938
34,3.809598207473755
35,3.8091373443603516
36,3.808645009994507
37,3.808162212371826
38,3.807690382003784
39,3.8072128295898438
40,3.8067286014556885
41,3.806243896484375
42,3.8057754039764404
43,3.805321216583252
44,3.804826021194458
45,3.8043668270111084
46,3.803898334503174
47,3.8034133911132812
48,3.8029425144195557
49,3.8024613857269287
50,3.8019919395446777
51,3.801521062850952
52,3.801046133041382
53,3.8005595207214355
54,3.8000941276550293
55,3.7996246814727783
56,3.7991714477539062
57,3.7986972332000732
58,3.7982287406921387
59,3.7977476119995117
60,3.7972848415374756
61,3.7967984676361084
62,3.7963390350341797
63,3.7958762645721436
64,3.7953975200653076
65,3.794938087463379
66,3.79447340965271
67,3.7939906120300293
68,3.793536424636841
69,3.793062686920166
70,3.7925994396209717
71,3.7921438217163086
72,3.7916769981384277
73,3.791217565536499
74,3.790755033493042
75,3.79028582572937
76,3.7898104190826416
77,3.7893471717834473
78,3.7888760566711426
79,3.7884206771850586
80,3.7879481315612793
81,3.787482261657715
82,3.787013530731201
83,3.7865450382232666
84,3.786088228225708
85,3.785613775253296
86,3.785151958465576
87,3.784691095352173
88,3.7842183113098145
89,3.783743381500244
90,3.783273935317993
91,3.782792091369629
92,3.782315731048584
93,3.7818307876586914
94,3.781373977661133
95,3.7809109687805176
96,3.7804205417633057
97,3.7799363136291504
98,3.7794649600982666
99,3.7789909839630127
100,3.778517484664917
