epoch,loss
1,3.8082401752471924
2,3.7864627838134766
3,3.7701923847198486
4,3.7544076442718506
5,3.7384421825408936
6,3.7213528156280518
7,3.702831983566284
8,3.6845905780792236
9,3.664463758468628
10,3.6409642696380615
11,3.6173746585845947
12,3.5921528339385986
13,3.5637664794921875
14,3.53332781791687
15,3.500821113586426
16,3.467210531234741
17,3.430609941482544
18,3.3902626037597656
19,3.34887433052063
20,3.304804563522339
21,3.25848388671875
22,3.2105350494384766
23,3.1580870151519775
24,3.1064016819000244
25,3.0512731075286865
26,2.994574785232544
27,2.9381062984466553
28,2.8800952434539795
29,2.8199386596679688
30,2.761608123779297
31,2.701791763305664
32,2.646247625350952
33,2.5900816917419434
34,2.5318603515625
35,2.478212594985962
36,2.4260237216949463
37,2.37397837638855
38,2.324627637863159
39,2.2773118019104004
40,2.2319209575653076
41,2.187755823135376
42,2.146692991256714
43,2.105011224746704
44,2.066627264022827
45,2.030196189880371
46,1.9934066534042358
47,1.9593639373779297
48,1.9262317419052124
49,1.8944692611694336
50,1.8628792762756348
51,1.8310314416885376
52,1.8027321100234985
53,1.774343490600586
54,1.7461382150650024
55,1.7185564041137695
56,1.69123113155365
57,1.66511869430542
58,1.6372836828231812
59,1.6106457710266113
60,1.5874751806259155
61,1.5601835250854492
62,1.5359549522399902
63,1.5106263160705566
64,1.4868011474609375
65,1.4629265069961548
66,1.439340591430664
67,1.41558837890625
68,1.3924273252487183
69,1.370996117591858
70,1.347588062286377
71,1.3241926431655884
72,1.3021849393844604
73,1.2811250686645508
74,1.2584508657455444
75,1.2380428314208984
76,1.2165939807891846
77,1.194200873374939
78,1.1755942106246948
79,1.156396746635437
80,1.1351265907287598
81,1.1158802509307861
82,1.0969374179840088
83,1.0787428617477417
84,1.0587245225906372
85,1.0393073558807373
86,1.021256446838379
87,1.0022202730178833
88,0.984747588634491
89,0.9664149284362793
90,0.9489493370056152
91,0.9334628582000732
92,0.9160229563713074
93,0.8994084000587463
94,0.8827349543571472
95,0.8678438067436218
96,0.8510212302207947
97,0.8361411690711975
98,0.8224881291389465
99,0.8072283267974854
100,0.7942256331443787
