epoch,loss
1,3.8253767490386963
2,3.7665703296661377
3,3.7189724445343018
4,3.6638026237487793
5,3.596210479736328
6,3.5123002529144287
7,3.4059736728668213
8,3.2815980911254883
9,3.146641731262207
10,3.012921094894409
11,2.900848627090454
12,2.7964656352996826
13,2.7125959396362305
14,2.6464178562164307
15,2.591830015182495
16,2.5543768405914307
17,2.5191938877105713
18,2.4971742630004883
19,2.465416431427002
20,2.447652578353882
21,2.4350059032440186
22,2.4209020137786865
23,2.4083497524261475
24,2.39397931098938
25,2.3887388706207275
26,2.3801558017730713
27,2.369887590408325
28,2.3626761436462402
29,2.353898525238037
30,2.3459813594818115
31,2.343749523162842
32,2.334700345993042
33,2.332148313522339
34,2.321437358856201
35,2.318974018096924
36,2.316636085510254
37,2.314070463180542
38,2.3046271800994873
39,2.296668291091919
40,2.297154188156128
41,2.2961654663085938
42,2.2871315479278564
43,2.2826366424560547
44,2.2791976928710938
45,2.278099298477173
46,2.2734551429748535
47,2.267199754714966
48,2.268385410308838
49,2.2614407539367676
50,2.2609524726867676
51,2.2605040073394775
52,2.2543158531188965
53,2.2527034282684326
54,2.2521350383758545
55,2.249147415161133
56,2.244743585586548
57,2.243877649307251
58,2.2390191555023193
59,2.2398853302001953
60,2.242189407348633
61,2.2376630306243896
62,2.2379024028778076
63,2.2339577674865723
64,2.2339470386505127
65,2.22759747505188
66,2.229715347290039
67,2.2280662059783936
68,2.2246711254119873
69,2.2245213985443115
70,2.224818706512451
71,2.2223384380340576
72,2.2229607105255127
73,2.2185003757476807
74,2.2228915691375732
75,2.2223286628723145
76,2.217717170715332
77,2.2183995246887207
78,2.2188963890075684
79,2.2229573726654053
80,2.2148959636688232
81,2.215682029724121
82,2.2148518562316895
83,2.2140960693359375
84,2.2179620265960693
85,2.212428569793701
86,2.213446617126465
87,2.2080581188201904
88,2.2084217071533203
89,2.212737798690796
90,2.208989143371582
91,2.210758686065674
92,2.208848714828491
93,2.2066664695739746
94,2.211817741394043
95,2.205699920654297
96,2.2069199085235596
97,2.2044081687927246
98,2.206188917160034
99,2.2033259868621826
100,2.2044098377227783
